Fecha,Clics,Impresiones,CTR,Posición
2025-02-07,0,0,,
2025-02-08,0,2,0%,31.5
2025-02-09,0,0,,
2025-02-10,0,0,,
2025-02-11,0,0,,
2025-02-12,0,0,,
2025-02-13,0,0,,
2025-02-14,0,0,,
2025-02-15,0,0,,
2025-02-16,0,0,,
2025-02-17,0,3,0%,12.7
2025-02-18,0,0,,
2025-02-19,0,0,,
2025-02-20,0,0,,
2025-02-21,0,0,,
2025-02-22,0,0,,
2025-02-23,0,1,0%,8
2025-02-24,0,0,,
2025-02-25,0,2,0%,10
2025-02-26,0,0,,
2025-02-27,0,0,,
2025-02-28,0,1,0%,9
2025-03-01,0,1,0%,9
2025-03-02,0,0,,
2025-03-03,0,0,,
2025-03-04,0,0,,
2025-03-05,0,0,,
2025-03-06,0,0,,
2025-03-07,0,1,0%,11
2025-03-08,0,0,,
2025-03-09,0,0,,
2025-03-10,0,2,0%,7.5
2025-03-11,0,1,0%,11
2025-03-12,0,0,,
2025-03-13,0,0,,
2025-03-14,0,0,,
2025-03-15,0,0,,
2025-03-16,0,1,0%,9
2025-03-17,2,5,40%,9.6
2025-03-18,0,0,,
2025-03-19,0,0,,
2025-03-20,8,22,36.36%,8.3
2025-03-21,3,5,60%,10
2025-03-22,0,0,,
2025-03-23,0,0,,
2025-03-24,1,2,50%,18.5
2025-03-25,0,0,,
2025-03-26,0,1,0%,9
2025-03-27,0,2,0%,13
2025-03-28,0,1,0%,94
2025-03-29,0,0,,
2025-03-30,0,0,,
2025-03-31,1,17,5.88%,9.6
2025-04-01,2,21,9.52%,12.1
2025-04-02,0,6,0%,7.8
2025-04-03,0,3,0%,21
2025-04-04,0,0,,
2025-04-05,0,0,,
2025-04-06,0,3,0%,14
2025-04-07,1,5,20%,8.4
2025-04-08,1,2,50%,7
2025-04-09,0,3,0%,31.7
2025-04-10,0,2,0%,81.5
2025-04-11,0,12,0%,9.8
2025-04-12,0,10,0%,23.3
2025-04-13,1,3,33.33%,12.3
2025-04-14,1,17,5.88%,9.2
2025-04-15,2,16,12.5%,8.5
2025-04-16,3,10,30%,6.1
2025-04-17,1,10,10%,23.1
2025-04-18,1,4,25%,29
2025-04-19,0,6,0%,21.2
2025-04-20,1,7,14.29%,5.6
2025-04-21,2,16,12.5%,9.9
2025-04-22,0,25,0%,6.6
2025-04-23,0,34,0%,11.2
2025-04-24,2,24,8.33%,9.1
2025-04-25,0,34,0%,11
2025-04-26,1,9,11.11%,7.2
2025-04-27,2,17,11.76%,13.8
2025-04-28,0,31,0%,10.5
2025-04-29,3,56,5.36%,12.1
2025-04-30,1,49,2.04%,10.3
2025-05-01,2,32,6.25%,10.4
2025-05-02,0,11,0%,19.5
2025-05-03,1,13,7.69%,22.8
2025-05-04,1,18,5.56%,17.3
2025-05-05,1,44,2.27%,7.6
2025-05-06,1,47,2.13%,8.6
2025-05-07,2,55,3.64%,10.8
2025-05-08,2,47,4.26%,6.9
2025-05-09,2,36,5.56%,8.4
2025-05-10,0,7,0%,14.6
2025-05-11,0,6,0%,18
2025-05-12,2,58,3.45%,7.8
2025-05-13,4,62,6.45%,8.8
2025-05-14,6,43,13.95%,8.3
2025-05-15,5,52,9.62%,9.5
2025-05-16,0,40,0%,11.9
2025-05-17,1,33,3.03%,12.8
2025-05-18,0,7,0%,21.9
2025-05-19,1,74,1.35%,10.4
2025-05-20,4,51,7.84%,8.5
2025-05-21,3,55,5.45%,8.9
2025-05-22,2,40,5%,10.7
2025-05-23,0,10,0%,15
2025-05-24,0,9,0%,14.3
2025-05-25,4,30,13.33%,8.7
2025-05-26,4,60,6.67%,9.9
2025-05-27,2,39,5.13%,8.8
2025-05-28,4,70,5.71%,11.3
2025-05-29,3,39,7.69%,11.1
2025-05-30,0,53,0%,14.7
2025-05-31,1,24,4.17%,19.5
2025-06-01,1,7,14.29%,21.6
2025-06-02,4,66,6.06%,9.2
2025-06-03,1,46,2.17%,11.8
2025-06-04,4,62,6.45%,11.8
2025-06-05,1,59,1.69%,12.2
2025-06-06,8,61,13.11%,9.3
2025-06-07,1,20,5%,19.6
2025-06-08,3,18,16.67%,6.2
2025-06-09,7,65,10.77%,7.8
2025-06-10,2,34,5.88%,9.8
2025-06-11,4,73,5.48%,15.9
2025-06-12,9,83,10.84%,10.8
2025-06-13,4,68,5.88%,13.1
