Fecha,Clics,Impresiones,CTR,Posición
2025-11-07,5,208,2.4%,8.1
2025-11-08,4,137,2.92%,7.2
2025-11-09,3,108,2.78%,7.6
2025-11-10,6,294,2.04%,8
2025-11-11,11,253,4.35%,7.9
2025-11-12,6,242,2.48%,7.8
2025-11-13,15,270,5.56%,7.6
2025-11-14,1,162,0.62%,8.3
2025-11-15,2,131,1.53%,7.2
2025-11-16,1,104,0.96%,8
2025-11-17,7,257,2.72%,7.7
2025-11-18,8,267,3%,8.2
2025-11-19,4,271,1.48%,8.1
2025-11-20,10,240,4.17%,7.6
2025-11-21,4,219,1.83%,8.6
2025-11-22,8,122,6.56%,7.8
2025-11-23,4,137,2.92%,7.6
2025-11-24,6,296,2.03%,7.3
2025-11-25,9,315,2.86%,7.3
2025-11-26,13,342,3.8%,7.6
2025-11-27,8,282,2.84%,7.8
2025-11-28,9,272,3.31%,7.9
2025-11-29,0,112,0%,7.9
2025-11-30,8,203,3.94%,7.2
2025-12-01,9,321,2.8%,8.2
2025-12-02,8,365,2.19%,8.4
2025-12-03,13,339,3.83%,8
2025-12-04,2,299,0.67%,8.3
2025-12-05,6,229,2.62%,8
2025-12-06,5,93,5.38%,7
2025-12-07,2,166,1.2%,7.6
2025-12-08,9,339,2.65%,7.8
2025-12-09,7,328,2.13%,8.2
2025-12-10,10,322,3.11%,7.9
2025-12-11,7,341,2.05%,8.5
2025-12-12,6,318,1.89%,7.9
2025-12-13,1,154,0.65%,8.9
2025-12-14,3,163,1.84%,7.4
2025-12-15,10,371,2.7%,8
2025-12-16,7,328,2.13%,7.7
2025-12-17,6,318,1.89%,7.7
2025-12-18,8,325,2.46%,7.1
2025-12-19,6,228,2.63%,7.4
2025-12-20,2,125,1.6%,7.1
2025-12-21,3,104,2.88%,8.1
2025-12-22,14,293,4.78%,7.2
2025-12-23,4,185,2.16%,7
2025-12-24,2,91,2.2%,7.7
2025-12-25,0,80,0%,6.9
2025-12-26,3,200,1.5%,7.2
2025-12-27,5,107,4.67%,7.1
2025-12-28,4,142,2.82%,6.4
2025-12-29,11,290,3.79%,7.2
2025-12-30,4,206,1.94%,6.9
2025-12-31,3,100,3%,7.6
2026-01-01,1,72,1.39%,6.8
2026-01-02,3,137,2.19%,7.4
2026-01-03,4,116,3.45%,6
2026-01-04,5,196,2.55%,7.4
2026-01-05,9,437,2.06%,7.7
2026-01-06,5,386,1.3%,7.5
2026-01-07,8,389,2.06%,7
2026-01-08,11,464,2.37%,7
2026-01-09,4,335,1.19%,7.2
2026-01-10,7,233,3%,6.4
2026-01-11,5,237,2.11%,6.9
2026-01-12,11,512,2.15%,8
2026-01-13,13,616,2.11%,8.1
2026-01-14,12,595,2.02%,8.1
2026-01-15,10,495,2.02%,7.9
2026-01-16,6,517,1.16%,8.2
2026-01-17,10,243,4.12%,7
2026-01-18,6,246,2.44%,7.3
2026-01-19,15,545,2.75%,7.8
2026-01-20,15,645,2.33%,7.7
2026-01-21,18,549,3.28%,7.8
2026-01-22,20,548,3.65%,7.2
2026-01-23,10,466,2.15%,7.6
2026-01-24,4,248,1.61%,7.5
2026-01-25,4,223,1.79%,7.3
2026-01-26,17,511,3.33%,7.7
2026-01-27,11,567,1.94%,7.9
2026-01-28,7,500,1.4%,7.6
2026-01-29,10,522,1.92%,7.9
2026-01-30,4,404,0.99%,7.9
2026-01-31,4,203,1.97%,7.5
2026-02-01,1,175,0.57%,7
2026-02-02,12,482,2.49%,7.6
2026-02-03,14,394,3.55%,7.4
2026-02-04,11,436,2.52%,7.6
2026-02-05,10,359,2.79%,7.7
2026-02-06,13,348,3.74%,6.9
